exp_name,model_name,method,training_method,weight_method,evaluation_method,checkpoint,split,num_examples,preference_accuracy,preference_accuracy_ci95,weighted_preference_accuracy,base_preference_accuracy,delta_vs_base,relative_delta_vs_base,mean_margin,margin_delta_vs_base,median_margin,mean_loss,global_step,train_mean_loss,train_mean_step_sec,runtime_mean_step_sec,precompute_sec,total_train_sec,total_wall_sec,metric_note,summary_path
qwen_0.5b_base,Qwen/Qwen2.5-0.5B-Instruct,base,base,uniform,raw_logprob,base,test,500,0.456,0.04365690466352373,,0.456,0.0,0.0,-4.890878406524658,0.0,-5.03090763092041,0.0,187,0.6692724336385727,0.865992828357325,,,,,sum of response log-probs; not ref-normalized,outputs/results/qwen_0.5b_base/summary.json
qwen_0.5b_dpo,Qwen/Qwen2.5-0.5B-Instruct,dpo,dpo,uniform,,outputs/checkpoints/qwen_0.5b_dpo/final,test,500,0.614,0.04267258057347832,0.614,0.456,0.15799999999999997,0.34649122807017535,1.1818362221121788,6.072714628636837,0.9239124655723572,0.6628191721439362,,,,0.8337630684996838,,,,,outputs/results/qwen_0.5b_dpo/summary.json
qwen_0.5b_surprisal,Qwen/Qwen2.5-0.5B-Instruct,surprisal,surprisal,surprisal,,outputs/checkpoints/qwen_0.5b_surprisal/final,test,500,0.598,0.04297686060195649,0.6,0.456,0.14199999999999996,0.31140350877192974,0.6115684385150671,5.502446845039725,0.4879835247993469,0.6625209926962853,,,,0.801325607997569,,,,,outputs/results/qwen_0.5b_surprisal/summary.json
qwen_0.5b_cachedgrad,Qwen/Qwen2.5-0.5B-Instruct,cached_grad,cached_grad,cached_grad,uniform,outputs/checkpoints/qwen_0.5b_cachedgrad/final,test,500,0.602,0.04290529089984125,0.602,0.456,0.14599999999999996,0.3201754385964911,0.6678983296453953,5.558776736170054,0.5589410066604614,0.6718913494348526,,,,0.9274146458992618,,,,,outputs/results/qwen_0.5b_cachedgrad/summary.json
qwen_0.5b_online_hybrid,Qwen/Qwen2.5-0.5B-Instruct,online_hybrid,online_hybrid,online_hybrid,uniform,outputs/checkpoints/qwen_0.5b_online_hybrid/final,test,500,0.602,0.04290529089984125,0.602,0.456,0.14599999999999996,0.3201754385964911,0.5874895714521408,5.478367977976799,0.5281074643135071,0.6708711508512497,,,,1.403629823349911,,,,,outputs/results/qwen_0.5b_online_hybrid/summary.json
