exp_name,model_name,method,training_method,weight_method,evaluation_method,checkpoint,split,num_examples,preference_accuracy,preference_accuracy_ci95,weighted_preference_accuracy,base_preference_accuracy,delta_vs_base,relative_delta_vs_base,mean_margin,margin_delta_vs_base,median_margin,mean_loss,global_step,train_mean_loss,train_mean_step_sec,runtime_mean_step_sec,precompute_sec,total_train_sec,total_wall_sec,metric_note,summary_path
qwen_0.5b_base,Qwen/Qwen2.5-0.5B-Instruct,base,base,uniform,raw_logprob,base,test,500,0.456,0.04365690466352373,,0.456,0.0,0.0,-4.890878406524658,0.0,-5.03090763092041,0.0,187,0.6609704738259315,0.8646112524520431,,,1310.4217759299936,1310.4217759299936,sum of response log-probs; not ref-normalized,outputs/results/qwen_0.5b_base/summary.json
qwen_0.5b_dpo,Qwen/Qwen2.5-0.5B-Instruct,dpo,uniform,uniform,uniform,outputs/checkpoints/qwen_0.5b_dpo/final,test,500,0.616,0.04263114895003418,0.616,0.456,0.15999999999999998,0.35087719298245607,1.4708649703264236,6.361743376851082,1.1918994188308716,0.6504347012042999,187,0.6609704738259315,0.8646112524520431,0.7803278301478713,,1310.4217759299936,1310.4217759299936,,outputs/results/qwen_0.5b_dpo/summary.json
qwen_0.5b_surprisal,Qwen/Qwen2.5-0.5B-Instruct,surprisal,surprisal,surprisal,uniform,outputs/checkpoints/qwen_0.5b_surprisal/final,test,500,0.63,0.042319663514730356,0.63,0.456,0.174,0.381578947368421,0.9215327763557434,5.8124111828804015,0.7194831669330597,0.6579588145017624,187,0.6571255738139152,0.8667923863586038,0.7909439587994711,,1313.469974756008,1313.469974756008,,outputs/results/qwen_0.5b_surprisal/summary.json
qwen_0.5b_cachedgrad,Qwen/Qwen2.5-0.5B-Instruct,cached_grad,cached_grad,cached_grad,uniform,outputs/checkpoints/qwen_0.5b_cachedgrad/final,test,500,0.626,0.04241251603949004,0.626,0.456,0.16999999999999998,0.3728070175438596,0.6903393521904946,5.581217758715153,0.4342404007911682,0.6675686455965042,187,0.6905041093230248,0.8442255729426009,0.797776025949861,,1279.826572143007,1279.826572143007,,outputs/results/qwen_0.5b_cachedgrad/summary.json
qwen_0.5b_online_hybrid,Qwen/Qwen2.5-0.5B-Instruct,online_hybrid,online_hybrid,online_hybrid,uniform,outputs/checkpoints/qwen_0.5b_online_hybrid/final,test,500,0.61,0.042753166900242605,0.61,0.456,0.15399999999999997,0.337719298245614,1.1921731066405774,6.083051513165236,0.9276703000068665,0.6538943415880203,187,0.665272440691789,1.2453605680799131,0.8940713909527404,,1882.4965959479887,1882.4965959479887,,outputs/results/qwen_0.5b_online_hybrid/summary.json
